,workerId,treatment,initialDecision,shareWillingness,finalDecision,newsIndex,time,mlCorrectness,finalCorrectness,label
6,449,0.0,1,20.0,1,20.0,Wed Dec 22 2021 12:49:51 GMT-0500 (Eastern Standard Time),True,False,-1
7,416,2.0,1,80.0,1,37.0,Wed Dec 22 2021 11:33:21 GMT-0500 (Eastern Standard Time),False,False,-1
8,60,1.0,1,70.0,1,35.0,Thu Dec 23 2021 15:19:38 GMT-0600 (Central Standard Time),False,False,-1
9,28,0.0,-1,0.0,-1,0.0,Tue Dec 21 2021 14:01:24 GMT-0500 (Eastern Standard Time),True,False,1
12,248,1.0,-1,0.0,-1,21.0,Wed Dec 22 2021 16:46:58 GMT-0500 (Eastern Standard Time),True,True,-1
22,194,1.0,1,90.0,1,14.0,Mon Dec 27 2021 11:14:43 GMT-0800 (Pacific Standard Time),True,True,1
24,92,1.0,-1,60.0,-1,19.0,Thu Dec 23 2021 10:52:53 GMT-0800 (Pacific Standard Time),False,False,1
25,312,2.0,-1,0.0,1,29.0,Mon Dec 27 2021 12:46:50 GMT-0800 (Pacific Standard Time),True,False,-1
28,302,1.0,1,80.0,1,5.0,Wed Dec 22 2021 11:17:14 GMT-0800 (Pacific Standard Time),True,True,1
36,388,2.0,-1,80.0,1,10.0,Tue Dec 21 2021 12:29:35 GMT-0500 (Eastern Standard Time),True,True,1
45,90,1.0,-1,80.0,-1,7.0,Wed Dec 22 2021 10:31:37 GMT-0500 (Eastern Standard Time),True,False,1
53,41,2.0,1,70.0,1,26.0,Wed Dec 22 2021 12:59:06 GMT-0500 (Eastern Standard Time),True,False,-1
57,418,0.0,-1,10.0,-1,39.0,Wed Dec 22 2021 13:02:40 GMT-0500 (Eastern Standard Time),True,True,-1
63,444,0.0,1,80.0,1,23.0,Wed Dec 22 2021 15:57:16 GMT-0800 (Pacific Standard Time),False,False,-1
64,346,0.0,1,70.0,1,15.0,Tue Dec 21 2021 13:48:00 GMT-0500 (Eastern Standard Time),True,True,1
78,344,1.0,1,90.0,1,34.0,Wed Dec 22 2021 12:30:44 GMT-0500 (Eastern Standard Time),True,False,-1
79,197,0.0,1,80.0,1,30.0,Wed Dec 22 2021 14:40:58 GMT-0500 (Eastern Standard Time),True,False,-1
81,255,1.0,-1,60.0,-1,36.0,Wed Dec 22 2021 11:25:06 GMT-0800 (Pacific Standard Time),True,True,-1
82,20,1.0,-1,90.0,-1,35.0,Wed Dec 22 2021 12:55:05 GMT-0500 (Eastern Standard Time),False,True,-1
88,77,2.0,1,70.0,1,30.0,Tue Dec 21 2021 17:31:02 GMT-0600 (Central Standard Time),True,False,-1
