,workerId,treatment,initialDecision,shareWillingness,finalDecision,newsIndex,time,mlCorrectness,finalCorrectness,label
0,244,1,1,80.0,1,27.0,Fri Dec 24 2021 10:39:20 GMT-0500 (GMT-05:00),True,False,-1
1,329,1,1,60.0,1,23.0,Thu Dec 23 2021 04:16:04 GMT-0800 (Pacific Standard Time),False,False,-1
2,124,0,1,60.0,1,12.0,Wed Dec 22 2021 11:04:17 GMT-0500 (Eastern Standard Time),True,True,1
3,246,1,1,100.0,1,9.0,Thu Dec 23 2021 16:12:42 GMT-0800 (Pacific Standard Time),False,True,1
4,83,1,-1,10.0,-1,29.0,Wed Dec 22 2021 12:22:56 GMT-0500 (Eastern Standard Time),True,True,-1
10,110,1,-1,0.0,-1,27.0,Thu Dec 23 2021 15:40:41 GMT-0600 (Central Standard Time),True,True,-1
18,190,0,1,60.0,1,5.0,Tue Dec 21 2021 12:43:06 GMT-0500 (Eastern Standard Time),True,True,1
19,268,1,-1,90.0,1,20.0,Wed Dec 22 2021 14:36:43 GMT-0500 (Eastern Standard Time),True,False,-1
21,257,0,1,70.0,1,21.0,Thu Dec 23 2021 16:56:37 GMT-0700 (Mountain Standard Time),True,False,-1
23,521,0,-1,80.0,-1,33.0,Tue Dec 21 2021 13:41:11 GMT-0500 (Eastern Standard Time),True,True,-1
26,209,1,1,100.0,-1,12.0,Wed Dec 22 2021 11:10:29 GMT-0800 (Pacific Standard Time),True,False,1
34,379,1,1,90.0,1,6.0,Wed Dec 22 2021 15:52:50 GMT-0800 (Pacific Standard Time),True,True,1
37,317,1,-1,90.0,-1,18.0,Wed Dec 22 2021 12:54:56 GMT-0500 (Eastern Standard Time),False,False,1
40,340,2,1,100.0,1,33.0,Thu Dec 23 2021 15:44:40 GMT-0600 (Central Standard Time),True,False,-1
42,16,0,1,60.0,1,26.0,Fri Dec 24 2021 12:44:18 GMT-0800 (Pacific Standard Time),True,False,-1
44,354,0,1,70.0,1,35.0,Tue Dec 21 2021 13:31:10 GMT-0500 (Eastern Standard Time),False,False,-1
50,236,2,1,70.0,1,8.0,Mon Dec 27 2021 10:02:18 GMT-0500 (Eastern Standard Time),False,True,1
51,233,0,1,60.0,-1,10.0,Wed Dec 22 2021 13:27:26 GMT-0500 (Eastern Standard Time),True,False,1
52,452,0,1,70.0,1,27.0,Fri Dec 24 2021 16:02:28 GMT-0600 (Central Standard Time),True,False,-1
56,364,2,1,70.0,1,15.0,Wed Dec 22 2021 16:03:14 GMT-0500 (Eastern Standard Time),True,True,1
58,351,0,1,70.0,-1,38.0,Wed Dec 22 2021 16:34:20 GMT-0500 (Eastern Standard Time),False,True,-1
59,236,2,-1,0.0,-1,26.0,Mon Dec 27 2021 10:05:47 GMT-0500 (Eastern Standard Time),True,True,-1
60,524,0,1,30.0,1,19.0,Mon Dec 27 2021 19:37:06 GMT-0800 (Pacific Standard Time),False,True,1
65,385,2,1,100.0,1,0.0,Mon Dec 27 2021 17:28:51 GMT-0500 (Eastern Standard Time),True,True,1
67,207,1,1,70.0,1,17.0,Wed Dec 22 2021 17:17:29 GMT-0600 (Central Standard Time),True,True,1
69,243,2,1,90.0,1,11.0,Fri Dec 24 2021 17:33:42 GMT-0600 (Central Standard Time),True,True,1
71,296,1,1,60.0,1,16.0,Mon Dec 27 2021 09:44:59 GMT-0600 (Central Standard Time),False,True,1
75,473,1,1,70.0,1,7.0,Wed Dec 22 2021 11:25:56 GMT-0600 (Central Standard Time),True,True,1
76,392,2,1,70.0,1,9.0,Fri Dec 24 2021 10:30:19 GMT-0800 (Pacific Standard Time),False,True,1
77,381,1,1,100.0,1,25.0,Fri Dec 24 2021 11:57:04 GMT-0500 (Eastern Standard Time),False,False,-1
84,106,1,1,50.0,1,35.0,Tue Dec 21 2021 15:25:25 GMT-0600 (Central Standard Time),False,False,-1
89,506,0,-1,90.0,-1,2.0,Wed Dec 22 2021 13:14:32 GMT-0500 (Eastern Standard Time),True,False,1
94,378,1,1,90.0,1,14.0,Wed Dec 22 2021 16:14:29 GMT-0800 (GMT-08:00),True,True,1
96,538,0,1,50.0,1,4.0,Wed Dec 22 2021 15:25:54 GMT-0500 (Eastern Standard Time),True,True,1
99,119,2,1,60.0,1,35.0,Tue Dec 21 2021 14:01:25 GMT-0500 (Eastern Standard Time),False,False,-1
101,17,0,1,90.0,1,22.0,Fri Dec 24 2021 10:14:26 GMT-0800 (Pacific Standard Time),True,False,-1
103,124,0,1,50.0,1,20.0,Wed Dec 22 2021 11:03:19 GMT-0500 (Eastern Standard Time),True,False,-1
105,459,1,1,40.0,1,15.0,Thu Dec 23 2021 15:47:46 GMT-0800 (Pacific Standard Time),True,True,1
108,494,1,1,90.0,1,37.0,Fri Dec 24 2021 10:44:17 GMT-0500 (Eastern Standard Time),False,False,-1
110,318,0,1,90.0,-1,0.0,Wed Dec 22 2021 14:06:16 GMT-0500 (Eastern Standard Time),True,False,1
114,587,0,-1,70.0,1,26.0,Wed Dec 22 2021 10:52:28 GMT-0600 (Central Standard Time),True,False,-1
120,488,2,1,70.0,1,1.0,Tue Dec 21 2021 16:16:47 GMT-0500 (Eastern Standard Time),True,True,1
123,322,2,1,60.0,1,3.0,Wed Dec 22 2021 11:54:13 GMT-0500 (Eastern Standard Time),True,True,1
124,154,2,1,80.0,1,7.0,Wed Dec 22 2021 10:39:40 GMT-0500 (Eastern Standard Time),True,True,1
127,494,1,1,70.0,1,1.0,Fri Dec 24 2021 10:40:34 GMT-0500 (Eastern Standard Time),True,True,1
128,488,2,1,90.0,1,12.0,Tue Dec 21 2021 16:17:26 GMT-0500 (Eastern Standard Time),True,True,1
129,77,1,-1,60.0,-1,31.0,Wed Dec 22 2021 11:40:10 GMT-0600 (Central Standard Time),True,True,-1
130,180,1,1,60.0,1,10.0,Tue Dec 21 2021 15:20:04 GMT-0600 (Central Standard Time),True,True,1
131,80,2,-1,0.0,-1,1.0,Wed Dec 22 2021 17:12:24 GMT-0600 (Central Standard Time),True,False,1
132,99,0,1,60.0,1,28.0,Tue Dec 21 2021 13:12:33 GMT-0500 (Eastern Standard Time),True,False,-1
135,303,1,1,60.0,1,35.0,Thu Dec 23 2021 13:24:35 GMT-0500 (Eastern Standard Time),False,False,-1
136,517,0,1,100.0,1,17.0,Tue Dec 21 2021 16:41:11 GMT-0800 (GMT-08:00),True,True,1
137,431,1,-1,70.0,-1,26.0,Tue Dec 21 2021 16:33:21 GMT-0800 (Pacific Standard Time),True,True,-1
142,18,1,-1,30.0,-1,24.0,Tue Dec 21 2021 12:32:36 GMT-0800 (Pacific Standard Time),True,True,-1
143,93,0,1,90.0,1,12.0,Tue Dec 21 2021 15:09:19 GMT-0500 (GMT-05:00),True,True,1
145,286,1,1,100.0,1,12.0,Tue Dec 21 2021 11:56:20 GMT-0800 (Pacific Standard Time),True,True,1
147,384,0,1,90.0,1,32.0,Thu Dec 23 2021 11:22:55 GMT-0500 (Eastern Standard Time),True,False,-1
151,478,0,-1,100.0,1,19.0,Thu Dec 23 2021 17:15:05 GMT-0500 (Eastern Standard Time),False,True,1
154,511,1,1,40.0,1,4.0,Wed Dec 22 2021 11:17:16 GMT-0500 (Eastern Standard Time),True,True,1
155,157,0,-1,60.0,-1,2.0,Tue Dec 21 2021 15:52:50 GMT-0800 (Pacific Standard Time),True,False,1
156,197,1,-1,10.0,-1,15.0,Wed Dec 22 2021 10:43:04 GMT-0500 (Colombia Standard Time),True,False,1
164,532,2,-1,90.0,1,17.0,Wed Dec 22 2021 15:51:46 GMT-0500 (Eastern Standard Time),True,True,1
171,58,2,1,10.0,1,7.0,Mon Dec 27 2021 19:03:31 GMT-0600 (Central Standard Time),True,True,1
175,114,2,1,80.0,1,28.0,Fri Dec 24 2021 12:11:40 GMT-0500 (Eastern Standard Time),True,False,-1
176,168,0,1,80.0,1,1.0,Tue Dec 21 2021 16:31:35 GMT-0500 (GMT-05:00),True,True,1
183,592,0,1,20.0,-1,39.0,Thu Dec 23 2021 10:31:27 GMT-0600 (Central Standard Time),True,True,-1
184,65,2,1,80.0,1,28.0,Thu Dec 23 2021 19:05:40 GMT-0800 (Pacific Standard Time),True,False,-1
185,479,1,1,80.0,1,37.0,Wed Dec 22 2021 10:04:40 GMT-0800 (GMT-08:00),False,False,-1
186,37,2,1,10.0,-1,24.0,Wed Dec 22 2021 13:35:55 GMT-0500 (Eastern Standard Time),True,True,-1
187,116,2,1,90.0,1,14.0,Tue Dec 21 2021 16:56:14 GMT-0500 (Eastern Standard Time),True,True,1
188,533,1,1,70.0,1,21.0,Wed Dec 22 2021 16:15:23 GMT-0500 (Eastern Standard Time),True,False,-1
189,585,2,1,100.0,1,29.0,Thu Dec 23 2021 20:40:45 GMT-0800 (Pacific Standard Time),True,False,-1
193,422,0,-1,0.0,-1,20.0,Wed Dec 22 2021 17:44:00 GMT-0500 (Eastern Standard Time),True,True,-1
194,407,0,1,30.0,1,4.0,Thu Dec 23 2021 15:07:06 GMT-0500 (Eastern Standard Time),True,True,1
195,462,1,1,40.0,1,5.0,Wed Dec 22 2021 15:40:05 GMT-0500 (Eastern Standard Time),True,True,1
199,199,0,1,0.0,1,14.0,Tue Dec 21 2021 11:29:32 GMT-0600 (Central Standard Time),True,True,1
201,47,1,1,100.0,1,10.0,Tue Dec 21 2021 16:40:04 GMT-0500 (GMT-05:00),True,True,1
202,163,2,1,50.0,1,15.0,Wed Dec 22 2021 11:36:01 GMT-0600 (Central Standard Time),True,True,1
210,24,1,1,70.0,-1,23.0,Thu Dec 23 2021 12:54:46 GMT-0500 (Eastern Standard Time),False,True,-1
215,270,0,-1,0.0,-1,1.0,Mon Dec 27 2021 10:09:47 GMT-0600 (Central Standard Time),True,False,1
216,491,0,1,100.0,1,8.0,Tue Dec 21 2021 16:20:57 GMT-0800 (Pacific Standard Time),False,True,1
224,477,1,-1,0.0,-1,19.0,Tue Dec 21 2021 15:18:42 GMT-0500 (Eastern Standard Time),False,False,1
227,290,0,1,80.0,1,25.0,Tue Dec 21 2021 11:59:11 GMT-0600 (Central Standard Time),False,False,-1
229,393,0,-1,80.0,-1,4.0,Tue Dec 21 2021 12:34:50 GMT-0500 (GMT-05:00),True,False,1
230,325,1,1,70.0,1,1.0,Tue Dec 21 2021 12:30:58 GMT-0500 (Eastern Standard Time),True,True,1
234,397,1,-1,50.0,-1,37.0,Thu Dec 23 2021 16:09:05 GMT-0500 (Eastern Standard Time),False,True,-1
